====================
atm  |  Райффайзен Банк
pharmacy  |  Центральна районна аптека
cafe  |  Чайхона Базар
restaurant  |  Беназір
drinking_water  |  Бювет
drinking_water  |  Зламана колонка
fuel  |  WOG
fast_food  |  Челентано
restaurant  |  Студія Суші
kindergarten  |  Sprout
bank  |  ПриватБанк
atm  |  UkrSibbank
cafe  |  Золотий Дукат
pharmacy  |  Соціальна аптека №1
pharmacy  |  ДЦ
fast_food  |  McDonald's
bank  |  ПриватБанк
bank  |  Райффайзен Банк
fuel  |  ANP
restaurant  |  Пекін
cafe  |  БаЮр
restaurant  |  Піано
bank  |  Таскомбанк
restaurant  |  Сушия
pharmacy  |  36.6
bank  |  Ощадбанк
bank  |  Райффайзен Банк
bank  |  А-Банк
restaurant  |  Musafir
pub  |  BierStadt
restaurant  |  Суаре
fast_food  |  Sbarro
bank  |  OTP Bank
restaurant  |  пан Феофан
bank  |  Укрбудінвестбанк
bank  |  ПриватБанк
cafe  |  Паштет
fast_food  |  Кафе на Тургеневской
dentist  |  Харизма
restaurant  |  Вишневий
pharmacy  |  Аптека спеціальних цін
fast_food  |  McDonald's
atm  |  ПриватБанк
post_office  |  Укрпошта
fast_food  |  Мама Мія Піцца
restaurant  |  Муракамі
pharmacy  |  Велика Аптека
pharmacy  |  Віталюкс
dentist  |  Центральна стоматологічна поліклініка Міністерства оборони України
fuel  |  WOG
nightclub  |  Інтонація
cafe  |  Kitsch
car_wash  |  Моєчка
restaurant  |  Блінофф
fast_food  |  Печена Картопля
bank  |  Ukrsibbank
pharmacy  |  Медикус
bank  |  SEB Банк
pharmacy  |  Альфа Фарм
cafe  |  Blaser Cafe
bank  |  Ukrsibbank
cafe  |  Візит
atm  |  Аваль
pub  |  Портер Паб
cafe  |  L'Kafa
nightclub  |  Молотов
pharmacy  |  Watsons
pub  |  Траторія
restaurant  |  Франт
restaurant  |  Мастро
atm  |  Пумб
school  |  Green Forest (курси англійської мови)
atm  |  ПриватБанк
fast_food  |  Пузата Хата
nightclub  |  Shooters
bank  |  Кредитпромбанк
pharmacy  |  TAS
bank  |  Аркада
cafe  |  Калина
bank  |  Ukrsibbank
pharmacy  |  Фарм союз
bank  |  Укргазбанк
pub  |  Портер Паб
cafe  |  Aroma kava
fuel  |  КЛО
atm  |  Старокиївський
car_wash  |  Мийка
restaurant  |  Don Vicente
dentist  |  Здорові зуби
dentist  |  Перфект-Дент
restaurant  |  Mamamia!
bank  |  Ощадбанк
bank  |  Ощадбанк
post_office  |  Укрпошта відділення #71: 04071
cafe  |  Паштет
restaurant  |  Le Cosmopolite
cafe  |  Радар
bank  |  Сбербанк Росії
restaurant  |  Beef
bank  |  ПроКредит Банк
bank  |  Crédit Agricole
restaurant  |  Тануки
stripclub  |  Пентхауз
cafe  |  Амадін
veterinary  |  Ветеринарія
pharmacy  |  Аптека 03
bank  |  Ощадбанк
restaurant  |  Муракамі
bank  |  Райффайзен Банк
bank  |  ОТП Банк
post_office  |  Київ 214
fast_food  |  Смачна Картопля
bank  |  УкрСиббанк
pharmacy  |  Express
cafe  |  Марципан кав'ярня
post_office  |  Відділення №191
fuel  |  Zokko
pharmacy  |  Країна здоров'я
pharmacy  |  БАМ
pharmacy  |  Аптека №102
pharmacy  |  Моя аптека
bank  |  Альфа-Банк
bank  |  Київська Русь
cafe  |  Дана
cafe  |  Бар Баян
fast_food  |  Євросмак
restaurant  |  Under Wonder
clinic  |  Консультативна поліклініка
pub  |  Zaйка
dentist  |  Естет-Практик
bank  |  ОТП Банк
nightclub  |  Зірковий Носорог
post_office  |  Укрпошта, відділення №140
bank  |  Universalbank
fuel  |  WOG
fuel  |  WOG
cafe  |  Нон-стоп
bank  |  ПриватБанк
bank  |  Райффайзен Банк
cafe  |  El Mate
pharmacy  |  Farmacia
restaurant  |  3BCaffe
place_of_worship  |  Іллінська церква
pharmacy  |  Аптека-музей
fast_food  |  Пузата Хата
school  |  Київська дитяча музична школа №1 ім. Я. Степового
atm  |  ПриватБанк
fast_food  |  Пицца 33
restaurant  |  Три мушкетера
restaurant  |  Mushlya
cafe  |  City-Zen
fast_food  |  Comfort food
bank  |  ОТП Банк
restaurant  |  Лиса гора
restaurant  |  Belmondo
restaurant  |  Solomon
atm  |  ПриватБанк
restaurant  |  Амадін
nightclub  |  М'ятний Носоріг
restaurant  |  KIN KAO
police  |  Шевченківське РУ МВС
bank  |  ПриватБанк
bar  |  Біоніка
cinema  |  Лінія Кіно
fast_food  |  Трапезна «Академія»
bar  |  Без названия
bank  |  Правекс-Банк
cafe  |  Каффа
place_of_worship  |  Свято-Миколаївська єпархія
place_of_worship  |  Свято-Миколаївська церка
fuel  |  КЛО
